Graph ID,Type,Vertices,Edges,Prim Cost,Prim Time (ms),Kruskal Cost,Kruskal Time (ms),Prim Ops,Kruskal Ops
1,small,4,4,6,3,430,6,0,828,4,4
2,small,5,6,16,0,077,16,0,035,8,6
3,medium,10,12,31,0,122,31,0,048,18,12
4,medium,12,13,42,0,114,42,0,046,22,13
5,large,20,21,78,0,205,78,0,060,37,21
6,large,23,23,101,1,816,101,0,090,39,23
